ID,MFG ID,Title,Current Model,Plow Type,Blade Width Expanded,Blade Width Retracted,Blade Width Scoop,Angled Width Expanded,Angled Width Retracted,Angled Width Scoop,Blade Height Min,Blade Height Max,Blade Gauge,Blade Thickness,Weight,Blade Material,Plowshoes,Blade Cutting Edge Thickness,Blade Cutting Edge Height,Wing Cutting Edge Thickness,Wing Cutting Edge Height,Vertical Ribs,Diagonal Ribs,Trip Feature,Trip Springs,Trip Spring Type,Angle Cylinder Diameter,Angle Cylinder Length,Angle Cylinder Type,Lift Cylinder Diameter,Lift Cylinder Length,Lift Cylinder Type,Controls Style,Controls Type,Mount,Snow Deflector,Snow Catcher,Warranty,Notes,Image,Down Pressure,Paint,Primer,Closed Loop Electric,Led Lights,Price,Moving Capacity,SPN Rank,Youtube Video ID,PDF
139,5,"Super Duty steel 8'6""",FALSE,straight,102,0,0,88,0,0,29,29,11,0.500,720,steel,included,0.500,6,,,7,2,full blade,4,extension,1.5,10,single acting,2,10,,both,wired,SmartHitch 2,optional,,2 years parts and labor,,plows_boss_superDuty_8-6_2015.jpg,No,Powder Coat,No,No,optional,4,2,46,,
140,5,"Super Duty steel 9'0""",FALSE,straight,108,0,0,93.5,0,0,29,29,11,0.500,742,steel,included,0.500,6,,,7,2,full blade,4,extension,1.5,10,single acting,2,10,,both,wired,SmartHitch 2,optional,,2 years parts and labor,,plows_boss_superDuty_9-0_2015.jpg,No,Powder Coat,No,No,optional,4,2,46,,
142,5,"Super Duty poly 7'6""",FALSE,straight,90,0,0,78,0,0,29,29,,0.375,706,poly,included,0.500,6,,,7,2,full blade,4,extension,1.5,10,single acting,2,10,,both,wired,SmartHitch 2,optional,,2 years parts and labor,,plows_boss_superDuty_7-6poly_2015.jpg,No,Powder Coat,No,No,optional,4,2,46,,
144,5,"Super Duty poly 8'0""",FALSE,straight,96,0,0,0,83,0,29,29,,0.375,722,poly,included,0.500,6,,,7,2,full blade,4,extension,1.5,10,single acting,2,10,,both,wired,SmartHitch 2,optional,,2 years parts and labor,,plows_boss_superDuty_8-0poly_2015.jpg,No,Powder Coat,No,No,optional,4,2,46,,
145,5,Super Duty stainless 8',FALSE,straight,96,0,0,83,0,0,29,29,14,,747,stainless,included,0.500,6,,,7,2,trip edge,4,extension,1.5,10,single acting,2,10,,both,wired,SmartHitch 2,optional,,2 years parts and labor,,plows_boss_superDuty_8-0ss_2015.jpg,No,Powder Coat,No,No,optional,4,2,46,,
146,5,Super Duty stainless 9',FALSE,straight,108,0,0,93.5,0,0,29,29,14,,794,stainless,included,0.500,6,,,7,2,full blade,4,extension,1.5,10,single acting,2,10,,both,wired,SmartHitch 2,optional,,2 years parts and labor,,plows_boss_superDuty_9-0ss_2015.jpg,No,Powder Coat,No,No,optional,4,2,46,,
150,5,trip edge Super Duty steel 7'6,FALSE,straight,90,0,0,78,0,0,31,31,11,,772,steel,included,,0,,,6,2,trip edge,4,extension,1.5,10,single acting,2,10,,both,wired,SmartHitch 2/Universal tool carrier,optional,,2 years parts and labor,,plows_boss_tripEdge_7-6_2015.jpg,No,Powder Coat,No,No,optional,4,3,48,,
151,23,MD68,FALSE,straight,80,0,0,69.2,0,0,24,24,14,0.075,380,stainless,included,0.375,6,,0,6,0,full blade,2,extension,1.5,10,,1.5,6,,keypad,wired,QuickMount II+,standard,,2 years,,,No,Powder Coat,Yes,,No,2,1,46,Lq2M9PbKFFM,https://www.buyersproducts.com/UserFiles/Print-Catalogs/LITPLOW_D_lr.pdf
152,23,MD75,FALSE,straight,90,0,0,78,0,0,24,24,14,0.075,400,stainless,included,0.375,6,,0,8,0,full blade,2,extension,1.5,10,,1.5,6,,keypad,wired,QuickMount,standard,,2 years,,,No,Powder Coat,Yes,,No,2,1,46,Lq2M9PbKFFM,https://www.buyersproducts.com/UserFiles/Print-Catalogs/LITPLOW_D_lr.pdf
153,23,MD80,FALSE,straight,96,0,0,83,0,0,24,24,14,0.075,439,stainless,included,0.500,6,,0,10,0,full blade,2,extension,1.5,10,,1.5,6,,keypad,wired,QuickMount,standard,,2 years,,,No,Powder Coat,Yes,,No,2,1,46,Lq2M9PbKFFM,https://www.buyersproducts.com/UserFiles/Print-Catalogs/LITPLOW_D_lr.pdf
